Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,"ECONOMIC CLASS: (1,000 TO 2,499 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (1,000 TO 2,499 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (1,000 TO 9,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (1,000 TO 9,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (1,000,000 OR MORE $)  -  <b>VALUE</b>","ECONOMIC CLASS: (1,000,000 OR MORE $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (1,000,000 TO 2,499,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (1,000,000 TO 2,499,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (10,000 TO 24,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (10,000 TO 24,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (10,000 TO 99,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (10,000 TO 99,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (100,000 OR MORE $)  -  <b>VALUE</b>","ECONOMIC CLASS: (100,000 OR MORE $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (100,000 TO 249,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (100,000 TO 249,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (2,500 TO 4,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (2,500 TO 4,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (25,000 TO 49,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (25,000 TO 49,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (250,000 OR MORE $)  -  <b>VALUE</b>","ECONOMIC CLASS: (250,000 OR MORE $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (250,000 TO 499,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (250,000 TO 499,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (5,000 TO 9,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (5,000 TO 9,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (50,000 TO 99,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (50,000 TO 99,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (500,000 OR MORE $)  -  <b>VALUE</b>","ECONOMIC CLASS: (500,000 OR MORE $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (500,000 TO 999,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (500,000 TO 999,999 $)  -  <b>CV (%)</b>",NOT SPECIFIED  -  <b>VALUE</b>,NOT SPECIFIED  -  <b>CV (%)</b>
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"86,940,000",,"218,620,000",,,,,,"191,980,000",,,,"129,870,000",,,,,,,,"127,090,000",,,,,,,,"156,500,000",,,
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"911,000,000",
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",ECONOMIC CLASS,,,84,,"2,656",,,,,,309,,,,896,,,,,,,,"1,296",,,,,,,,"1,897",,,
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442,
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"1,031,410",,"82,300",,,,,,"620,830",,,,"144,900",,,,,,,,"98,080",,,,,,,,"82,480",,,
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,060,000",
SURVEY,2016,YEAR,,STATE,ALABAMA,1,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"2,650,000",,"1,050,000",,,,,,"3,450,000",,,,"800,000",,,,,,,,"400,000",,,,,,,,"550,000",,,
SURVEY,2016,YEAR,,STATE,ALABAMA,1,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,900,000",
SURVEY,2016,YEAR,,STATE,ALABAMA,1,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",ECONOMIC CLASS,,,103,,750,,,,,,259,,,,696,,,,,,,,421,,,,,,,,367,,,
SURVEY,2016,YEAR,,STATE,ALABAMA,1,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,
