Program,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,       1997  -  <b>VALUE</b>,       1997  -  <b>CV (%)</b>,       2002  -  <b>VALUE</b>,       2002  -  <b>CV (%)</b>,       2007  -  <b>VALUE</b>,       2007  -  <b>CV (%)</b>,       2012  -  <b>VALUE</b>,       2012  -  <b>CV (%)</b>
CENSUS,END OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"921,581,316,000",,"1,144,905,925,000",,"1,744,295,252,000",,"2,268,536,922,000",0.7
CENSUS,END OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,967,,"1,213",,"1,892",,"2,481",0.5
CENSUS,END OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"416,007",,"537,833",,"791,138",,"1,075,491",1
CENSUS,END OF DEC,,STATE,ALABAMA,1,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"14,073,142,000",,"15,126,339,000",,"20,704,133,000",,"23,665,643,000",3
CENSUS,END OF DEC,,STATE,ALABAMA,1,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,471",,"1,698",,"2,292",,"2,658",0.6
CENSUS,END OF DEC,,STATE,ALABAMA,1,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"282,304",,"335,217",,"424,674",,"547,524",1.4
CENSUS,END OF DEC,,STATE,ALASKA,2,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"266,781,000",,"330,816,000",,"344,607,000",,"519,287,000",1.3
CENSUS,END OF DEC,,STATE,ALASKA,2,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,303,,367,,391,,623,1.1
CENSUS,END OF DEC,,STATE,ALASKA,2,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"486,827",,"543,213",,"502,342",,"681,479",1.8
CENSUS,END OF DEC,,STATE,ARIZONA,4,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"11,005,098,000",,"10,625,602,000",,"19,545,145,000",,"16,885,510,000",23.3
CENSUS,END OF DEC,,STATE,ARIZONA,4,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,407,,398,,748,,643,22.8
CENSUS,END OF DEC,,STATE,ARIZONA,4,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"1,293,804",,"1,456,759",,"1,249,929",,"844,065",23.3
