Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2012,YEAR,,COUNTY,TENNESSEE,47,CENTRAL BASIN,40,BEDFORD,3,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"5,985",6.9
CENSUS,2012,YEAR,,COUNTY,TENNESSEE,47,CENTRAL BASIN,40,CANNON,15,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"1,308",6.9
CENSUS,2012,YEAR,,COUNTY,TENNESSEE,47,CENTRAL BASIN,40,CLAY,27,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),682,6.9
CENSUS,2012,YEAR,,COUNTY,TENNESSEE,47,CENTRAL BASIN,40,DAVIDSON,37,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"1,868",6.9
CENSUS,2012,YEAR,,COUNTY,TENNESSEE,47,CENTRAL BASIN,40,DE KALB,41,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"1,640",6.9
CENSUS,2012,YEAR,,COUNTY,TENNESSEE,47,CENTRAL BASIN,40,GILES,55,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"16,011",6.9
CENSUS,2012,YEAR,,COUNTY,TENNESSEE,47,CENTRAL BASIN,40,JACKSON,87,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),517,6.9
CENSUS,2012,YEAR,,COUNTY,TENNESSEE,47,CENTRAL BASIN,40,LINCOLN,103,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"32,907",6.9
CENSUS,2012,YEAR,,COUNTY,TENNESSEE,47,CENTRAL BASIN,40,MACON,111,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"12,980",6.9
CENSUS,2012,YEAR,,COUNTY,TENNESSEE,47,CENTRAL BASIN,40,MARSHALL,117,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),664,6.9
CENSUS,2012,YEAR,,COUNTY,TENNESSEE,47,CENTRAL BASIN,40,MAURY,119,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"8,399",6.9
CENSUS,2012,YEAR,,COUNTY,TENNESSEE,47,CENTRAL BASIN,40,MOORE,127,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),106,6.9
CENSUS,2012,YEAR,,COUNTY,TENNESSEE,47,CENTRAL BASIN,40,RUTHERFORD,149,,,0,,AG LAND,AG LAND - ACRES,IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),"4,199",6.9
