Item,Tennessee,Anderson,Bedford,Benton,Bledsoe,Blount,Bradley,Campbell,,,,,
FARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Farms  ....................................................................... number, 2012","68,050",441,"1,411",463,579,980,807,370,,,,,
2007,"79,280",538,"1,554",500,580,"1,154",959,404,,,,,
"Land in farms  .............................................................. acres, 2012","10,867,812","35,845","232,381","87,902","102,255","100,717","86,585","33,487",,,,,
2007,"10,969,798","40,135","231,206","72,522","92,043","98,403","95,602","34,174",,,,,
"Average size of farm  ........................................... acres, 2012",160,81,165,190,177,103,107,91,,,,,
2007,138,75,149,145,159,85,100,85,,,,,
,,,,,,,,,,,,,
"Estimated market value of land and buildings  ............. farms, 2012","68,050",441,"1,411",463,579,980,807,370,,,,,
2007,"79,280",538,"1,554",500,580,"1,154",959,404,,,,,
"$1,000, 2012","38,748,784","209,899","887,879","197,008","358,502","686,026","470,919","125,121",,,,,
2007,"37,057,079","214,397","855,072","162,086","293,147","547,117","459,245","118,697",,,,,
"Average per farm ................................................ dollars, 2012","569,416","475,960","629,255","425,503","619,174","700,027","583,543","338,164",,,,,
2007,"467,420","398,508","550,239","324,173","505,425","474,105","478,879","293,806",,,,,
"Average per acre  ................................................ dollars, 2012","3,565","5,856","3,821","2,241","3,506","6,811","5,439","3,736",,,,,
2007,"3,378","5,342","3,698","2,235","3,185","5,560","4,804","3,473",,,,,
2012 farms by value group:,,,,,,,,,,,,,
"$1 to $49,999  .........................................................................","4,282",21,57,27,36,45,26,29,,,,,
"$50,000 to $99,999  ................................................................","6,104",28,68,65,43,31,63,49,,,,,
"$100,000 to $199,999  ............................................................","14,241",101,241,88,108,111,119,78,,,,,
"$200,000 to $499,999  ............................................................","25,458",181,580,174,223,376,339,144,,,,,
"$500,000 to $999,999  ............................................................","10,470",63,234,75,89,271,139,50,,,,,
,,,,,,,,,,,,,
"$1,000,000 to $1,999,999  ......................................................","4,334",32,144,22,51,94,91,14,,,,,
"$2,000,000 to $4,999,999  ......................................................","2,277",13,75,8,22,33,26,6,,,,,
"$5,000,000 to $9,999,999  ......................................................",608,2,10,4,3,16,1,-,,,,,
"$10,000,000 or more  ..............................................................",276,-,2,-,4,3,3,-,,,,,
,,,,,,,,,,,,,
"Approximate land area  ................................................ acres, 2012","26,391,606","215,784","303,128","252,255","260,112","357,569","210,408","307,316",,,,,
"Proportion in farms  ........................................... percent, 2012",41.2,16.6,76.7,34.8,39.3,28.2,41.2,10.9,,,,,
,,,,,,,,,,,,,
2012 size of farm:,,,,,,,,,,,,,
1 to 9 acres  ................................................................... farms,"3,230",35,53,11,21,73,42,15,,,,,
acres,"16,752",(D),278,57,95,(D),214,68,,,,,
10 to 49 acres  ............................................................... farms,"23,563",196,458,104,144,437,367,140,,,,,
acres,"646,064","5,676","12,417","2,830","4,071","11,618","9,874","3,998",,,,,
50 to 69 acres  ............................................................... farms,"7,704",62,157,57,71,92,81,49,,,,,
acres,"446,345","3,598","9,092","3,333","4,004","5,328","4,756","2,915",,,,,
70 to 99 acres  ............................................................... farms,"7,519",49,153,58,63,107,70,51,,,,,
acres,"622,055","4,082","12,877","4,801","5,176","8,765","5,659","4,192",,,,,
,,,,,,,,,,,,,
100 to 139 acres  ........................................................... farms,"7,261",34,154,51,83,90,77,47,,,,,
acres,"842,185","3,993","17,752","5,987","9,545","10,370","8,832","5,394",,,,,
140 to 179 acres  ........................................................... farms,"4,553",25,89,41,55,44,45,24,,,,,
acres,"714,453","3,765","14,038","6,557","8,553","6,848","6,814","3,655",,,,,
180 to 219 acres  ........................................................... farms,"3,185",7,86,31,31,30,36,22,,,,,
acres,"629,408","1,398","17,092","6,121","6,184","5,951","7,120","4,397",,,,,
220 to 259 acres  ........................................................... farms,"2,055",10,45,13,26,24,20,5,,,,,
acres,"489,524","2,333","10,564","3,066","6,275","5,548","4,697","1,195",,,,,
,,,,,,,,,,,,,
260 to 499 acres  ........................................................... farms,"5,224",17,109,66,54,57,35,12,,,,,
acres,"1,821,129","5,889","37,054","22,661","19,053","20,334","12,442","4,007",,,,,
500 to 999 acres  ........................................................... farms,"2,268",5,72,22,15,17,26,5,,,,,
acres,"1,507,906","3,426","46,209","15,846","10,126","11,619","15,944","3,666",,,,,
"1,000 to 1,999 acres ...................................................... farms",956,1,29,4,10,7,8,-,,,,,
acres,"1,267,223",(D),"37,713","4,259","12,258","9,225","10,233",-,,,,,
"2,000 acres or more  ...................................................... farms",532,-,6,5,6,2,-,-,,,,,
acres,"1,864,768",-,"17,295","12,384","16,915",(D),-,-,,,,,
2007 size of farm:,,,,,,,,,,,,,
1 to 9 acres  ................................................................... farms,"5,814",61,109,27,23,101,86,18,,,,,
acres,"31,407",(D),608,128,135,549,(D),73,,,,,
10 to 49 acres  ............................................................... farms,"29,396",234,566,134,145,528,444,159,,,,,
acres,"781,709","6,272","15,004","3,594","4,256","13,548","11,234","4,284",,,,,
50 to 69 acres  ............................................................... farms,"8,606",74,160,64,41,138,127,70,,,,,
acres,"498,582","4,290","9,320","3,753","2,357","8,123","7,268","4,137",,,,,
70 to 99 acres  ............................................................... farms,"8,672",43,146,53,75,117,71,51,,,,,
acres,"715,330","3,550","12,197","4,311","6,312","9,592","5,759","4,173",,,,,
,,,,,,,,,,,,,
100 to 139 acres  ........................................................... farms,"7,680",54,126,75,88,85,64,40,,,,,
acres,"890,774","6,549","14,880","8,703","10,224","9,866","7,407","4,664",,,,,
140 to 179 acres  ........................................................... farms,"4,630",24,85,30,59,63,39,30,,,,,
acres,"725,992","3,787","13,539","4,627","9,395","9,881","6,061","4,596",,,,,
180 to 219 acres  ........................................................... farms,"3,113",10,68,23,28,23,19,11,,,,,
acres,"614,373","1,983","13,406","4,574","5,571","4,565","3,613","2,134",,,,,
220 to 259 acres  ........................................................... farms,"2,258",8,66,20,32,32,17,3,,,,,
acres,"536,822","1,853","15,768",(D),"7,663","7,578","4,059",717,,,,,
,,,,,,,,,,,,,
260 to 499 acres  ........................................................... farms,"5,476",28,138,56,61,45,61,13,,,,,
acres,"1,908,537","9,902","48,458","20,494","21,518","15,643","20,662","4,337",,,,,
500 to 999 acres  ........................................................... farms,"2,287",2,55,11,21,15,21,9,,,,,
acres,"1,525,271",(D),"36,057","7,492","13,589","9,635","13,542","5,059",,,,,
"1,000 to 1,999 acres ...................................................... farms",892,-,29,6,5,7,8,-,,,,,
acres,"1,199,502",-,"37,575","7,507",(D),"9,423","10,105",-,,,,,
"2,000 acres or more  ...................................................... farms",456,-,6,1,2,-,2,-,,,,,
acres,"1,541,499",-,"14,394",(D),(D),-,(D),-,,,,,
,,,,,,,,,,,,,
LAND IN FARMS ACCORDING TO USE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Total cropland  ............................................................. farms, 2012","51,019",308,"1,028",359,461,735,531,306,,,,,
2007,"61,274",419,"1,144",394,494,904,686,322,,,,,
"acres, 2012","5,329,692","10,163","88,563","38,546","42,551","42,753","28,570","11,486",,,,,
2007,"6,047,348","17,025","106,886","37,596","43,041","51,547","40,542","14,872",,,,,
"Harvested cropland  ................................................. farms, 2012","44,908",293,951,254,409,691,494,282,,,,,
2007,"48,292",350,944,259,414,759,536,272,,,,,
"acres, 2012","4,546,788","8,933","70,961","25,166","32,935","34,544","24,121","9,536",,,,,
2007,"4,226,440","9,295","63,198","16,651","24,986","33,535","24,925","8,831",,,,,
,,,,,,,,,,,,,
Other pasture and grazing land that could have been,,,,,,,,,,,,,
used for crops without additional,,,,,,,,,,,,,
"improvements (see text)  ........................................ farms, 2012","5,852",23,118,57,65,66,48,28,,,,,
2007,"21,089",143,406,125,166,319,259,117,,,,,
"acres, 2012","407,005",771,"12,989","5,132","7,418","5,618","1,931","1,057",,,,,
2007,"1,190,823","6,703","34,975","11,337","14,606","14,705","12,699","4,764",,,,,
Item,Cannon,Carroll,Carter,Cheatham,Chester,Claiborne,Clay,,Cocke,,,,
FARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Farms  ....................................................................... number, 2012",717,732,493,415,391,945,424,,625,,,,
2007,880,971,516,554,484,"1,090",462,,705,,,,
"Land in farms  ............................................................... acres, 2012","96,262","177,931","40,266","52,404","60,889","121,481","79,745",,"61,059",,,,
2007,"116,720","179,703","39,374","63,122","71,686","124,757","77,779",,"64,163",,,,
"Average size of farm  ............................................ acres, 2012",134,243,82,126,156,129,188,,98,,,,
2007,133,185,76,114,148,114,168,,91,,,,
,,,,,,,,,,,,,
"Estimated market value of land and buildings  ............. farms, 2012",717,732,493,415,391,945,424,,625,,,,
2007,880,971,516,554,484,"1,090",462,,705,,,,
"$1,000, 2012","298,089","435,896","210,899","223,752","117,415","372,466","221,594",,"223,950",,,,
2007,"377,306","456,647","159,116","258,749","174,981","387,686","192,083",,"242,126",,,,
